trial  XDAT   ttype  cond   occur  face#  roi#   x      y      w      h      							x	y	w	h
39	153	2	2	1	1	1	197.69	177.62	70.4	114.35
39	153	2	2	1	1	2	205.51	191.86	59.73	30.72
39	153	2	2	1	1	3	227.56	221.58	31.29	19.63
39	153	2	2	1	1	4	224.71	243.44	35.56	23.89
39	153	2	2	1	2	1	359.11	180.29	71.82	111.79
39	153	2	2	1	2	2	374.04	198.99	54.04	28.16
39	153	2	2	1	2	3	391.11	226.15	30.58	17.07
39	153	2	2	1	2	4	386.84	245.33	36.27	20.48
40	161	2	2	1	0	1	201.96	179.4	56.89	106.67
40	161	2	2	1	0	2	203.38	196.31	44.8	27.31
40	161	2	2	1	0	3	204.09	222.62	25.6	20.48
40	161	2	2	1	0	4	206.22	245.18	27.02	21.33
40	161	2	2	1	1	1	281.6	179.4	61.87	111.79
40	161	2	2	1	1	2	283.73	193.64	44.8	26.45
40	161	2	2	1	1	3	283.02	219.1	29.87	19.63
40	161	2	2	1	1	4	285.16	240.76	33.42	24.75
40	161	2	2	1	2	1	370.49	178.51	64	113.49
40	161	2	2	1	2	2	371.91	197.21	49.07	29.87
40	161	2	2	1	2	3	370.49	226.07	32	17.92
40	161	2	2	1	2	4	374.04	246.18	30.58	22.19
41	125	2	2	1	0	1	371.91	172.27	73.24	112.64
41	125	2	2	1	0	2	379.73	188.3	58.31	27.31
41	125	2	2	1	0	3	397.51	214.61	27.02	18.77
41	125	2	2	1	0	4	391.11	236.35	38.4	25.6
41	125	2	2	1	1	1	199.82	170.49	74.67	116.91
41	125	2	2	1	1	2	204.8	188.3	64	29.87
41	125	2	2	1	1	3	222.58	217.17	28.44	17.92
41	125	2	2	1	1	4	218.31	237.28	38.4	23.04
41	125	2	2	1	2	1	286.58	172.27	80.36	110.93
41	125	2	2	1	2	2	293.69	187.41	67.56	29.87
41	125	2	2	1	2	3	312.18	216.28	30.58	18.77
41	125	2	2	1	2	4	304.36	237.24	43.38	21.33
42	115	2	2	1	0	1	370.49	182.07	72.53	109.23
42	115	2	2	1	0	2	379.02	198.1	55.47	28.16
42	115	2	2	1	0	3	391.82	225.26	28.44	18.77
42	115	2	2	1	0	4	386.84	246.14	41.24	21.33
42	115	2	2	1	1	1	195.56	180.29	78.22	110.93
42	115	2	2	1	1	2	201.96	196.31	65.42	30.72
42	115	2	2	1	1	3	219.73	226.03	29.87	18.77
42	115	2	2	1	1	4	213.33	247.03	42.67	21.33
42	115	2	2	1	2	1	285.87	180.29	74.67	113.49
42	115	2	2	1	2	2	292.98	197.21	60.44	28.16
42	115	2	2	1	2	3	309.33	224.37	29.87	18.77
42	115	2	2	1	2	4	303.64	245.25	39.11	23.04
43	131	2	2	1	0	1	288.71	173.16	64.71	117.76
43	131	2	2	1	0	2	289.42	196.31	46.93	27.31
43	131	2	2	1	0	3	288.71	222.62	29.87	19.63
43	131	2	2	1	0	4	292.27	244.33	34.13	21.33
43	131	2	2	1	1	1	197.69	175.83	69.69	116.05
43	131	2	2	1	1	2	197.69	191.86	51.91	30.72
43	131	2	2	1	1	3	199.11	221.58	30.58	18.77
43	131	2	2	1	1	4	202.67	242.58	31.29	24.75
43	131	2	2	1	2	1	369.07	178.51	70.4	110.93
43	131	2	2	1	2	2	369.78	192.75	53.33	29.87
43	131	2	2	1	2	3	371.91	221.62	29.87	20.48
43	131	2	2	1	2	4	377.6	244.29	34.13	23.04
44	125	2	2	2	0	1	198.4	182.96	71.11	108.37
44	125	2	2	2	0	2	207.64	196.31	57.6	27.31
44	125	2	2	2	0	3	223.29	222.62	27.02	18.77
44	125	2	2	2	0	4	216.18	243.47	39.82	24.75
44	125	2	2	2	1	1	285.87	185.63	73.96	107.52
44	125	2	2	2	1	2	291.56	198.99	64	29.87
44	125	2	2	2	1	3	308.62	227.85	30.58	18.77
44	125	2	2	2	1	4	304.36	248.82	39.82	23.04
44	125	2	2	2	2	1	370.49	180.29	72.53	116.91
44	125	2	2	2	2	2	375.47	197.21	63.29	29.01
44	125	2	2	2	2	3	391.11	225.22	32	18.77
44	125	2	2	2	2	4	386.84	246.14	39.82	23.89
45	162	2	2	1	0	1	369.07	177.62	72.53	120.32
45	162	2	2	1	0	2	374.04	196.31	63.29	31.57
45	162	2	2	1	0	3	390.4	226.89	29.87	21.33
45	162	2	2	1	0	4	386.84	250.48	37.69	23.89
45	162	2	2	1	1	1	198.4	180.29	73.96	117.76
45	162	2	2	1	1	2	204.8	196.31	62.58	32.43
45	162	2	2	1	1	3	220.44	227.74	32.71	19.63
45	162	2	2	1	1	4	216.18	249.67	40.53	25.6
45	162	2	2	1	2	1	283.73	179.4	72.53	120.32
45	162	2	2	1	2	2	288.71	198.99	64	35.84
45	162	2	2	1	2	3	304.36	233.83	28.44	17.92
45	162	2	2	1	2	4	299.38	254.19	39.11	23.89
46	141	2	2	1	0	1	282.31	180.29	69.69	112.64
46	141	2	2	1	0	2	282.31	194.53	50.49	32.43
46	141	2	2	1	0	3	286.58	225.96	29.16	19.63
46	141	2	2	1	0	4	289.42	247	32	19.63
46	141	2	2	1	1	1	199.11	179.4	68.27	110.93
46	141	2	2	1	1	2	202.67	198.1	48.36	29.01
